rep,fold,phase2_hp_method,phase2_C,phase2_l1_ratio
2,1,inner_cv,1.0,0.25
2,2,inner_cv,3.1622776601683795,0.0
2,3,inner_cv,1.0,0.25
2,4,inner_cv,1.0,0.0
