rep,fold,phase2_hp_method,phase2_C,phase2_l1_ratio
23,1,inner_cv,1.0,0.25
23,2,inner_cv,1.0,0.25
23,3,inner_cv,10.0,0.0
23,4,inner_cv,1.0,0.25
23,5,inner_cv,1.0,0.1
