task,disease_label,rep,fold,base_seed,outer_seed_used,outer_tries,fixed_epochs,final_epoch_rule,E_star,n_train_patients,n_test_patients,outer_test_counts_json,inner_split_ok,inner_split_tries,inner_val_test_size,use_view_fusion,w_all,w_fp,w_ch,T,val_logloss,tuned_json_path,acc,bal_acc,macro_f1,auc,logloss,cm_flat,all_inner_best_epoch,all_inner_best_val_bal,all_inner_best_val_loss,all_final_epochs,all_pos_weight_final,all_lr,all_wd,all_dropout,all_batch_size,all_max_instances_train,all_final_ckpt_pt,all_final_ckpt_meta,fp_inner_best_epoch,fp_inner_best_val_bal,fp_inner_best_val_loss,fp_final_epochs,fp_pos_weight_final,fp_lr,fp_wd,fp_dropout,fp_batch_size,fp_max_instances_train,fp_final_ckpt_pt,fp_final_ckpt_meta,ch_inner_best_epoch,ch_inner_best_val_bal,ch_inner_best_val_loss,ch_final_epochs,ch_pos_weight_final,ch_lr,ch_wd,ch_dropout,ch_batch_size,ch_max_instances_train,ch_final_ckpt_pt,ch_final_ckpt_meta,task_dir,selected_rep
stage1_MIL_Control_vs_Liver,Liver,1,1,0,10000,1,120,median,105,47,16,"{""Control"": 8, ""Liver"": 8}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0205979578596207,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep01_fold01_tuned.json,1.0,1.0,1.0,1.0,0.0046516335600948,"8,0,0,8",120,1.0,0.000424576253863,105,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewall_FINAL/meta.json,102,1.0,0.1017170697450637,105,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewfp_FINAL/meta.json,105,1.0,0.0220026690512895,105,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold01_viewch_FINAL/meta.json,CTRL_vs_Liver,1
stage1_MIL_Control_vs_Liver,Liver,1,2,0,10000,1,120,median,110,48,15,"{""Control"": 7, ""Liver"": 8}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0069410132199524,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep01_fold02_tuned.json,1.0,1.0,1.0,1.0,0.0093488752240855,"7,0,0,8",113,1.0,0.0009861245052888,110,1.0869565217391304,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewall_FINAL/meta.json,19,0.9,0.2656837105751037,110,1.0869565217391304,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewfp_FINAL/meta.json,110,1.0,0.0120401624590158,110,1.0869565217391304,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold02_viewch_FINAL/meta.json,CTRL_vs_Liver,1
stage1_MIL_Control_vs_Liver,Liver,1,3,0,10000,1,120,median,95,47,16,"{""Control"": 9, ""Liver"": 7}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0258075991194214,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep01_fold03_tuned.json,1.0,1.0,1.0,1.0,0.000684690949582,"9,0,0,7",114,1.0,7.622729754075408e-05,95,0.9583333333333334,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewall_FINAL/meta.json,21,0.9,0.2926724553108215,95,0.9583333333333334,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewfp_FINAL/meta.json,95,1.0,0.0239898413419723,95,0.9583333333333334,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold03_viewch_FINAL/meta.json,CTRL_vs_Liver,1
stage1_MIL_Control_vs_Liver,Liver,1,4,0,10000,1,120,median,97,47,16,"{""Control"": 8, ""Liver"": 8}",1,1,0.2,1,0.0,0.2,0.8,0.7,0.1195129308992849,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep01_fold04_tuned.json,0.875,0.875,0.875,0.984375,0.5202503745407413,"7,1,1,7",97,1.0,0.0014970559859648,97,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewall_FINAL/meta.json,118,1.0,0.0010705577442422,97,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewfp_FINAL/meta.json,16,0.8,0.1375111639499664,97,1.0434782608695652,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep01_fold04_viewch_FINAL/meta.json,CTRL_vs_Liver,1
stage1_MIL_Control_vs_Bile,Bile,5,1,4,10004,1,120,median,109,53,18,"{""Control"": 8, ""Bile"": 10}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.000373285430466,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep05_fold01_tuned.json,0.9444444444444444,0.95,0.9442724458204336,0.9375,0.7005171824269643,"8,0,1,9",109,1.0,0.0110894764463154,109,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewall_FINAL/meta.json,20,0.9166666666666669,0.1936416081152856,109,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewfp_FINAL/meta.json,115,1.0,0.0013904749266657,109,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold01_viewch_FINAL/meta.json,CTRL_vs_Bile,5
stage1_MIL_Control_vs_Bile,Bile,5,2,4,10004,1,120,median,44,53,18,"{""Control"": 8, ""Bile"": 10}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0914430077185234,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep05_fold02_tuned.json,0.9444444444444444,0.9375,0.9428571428571428,1.0,0.1625175042497647,"7,1,0,10",23,0.9166666666666669,0.3235600988846272,44,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewall_FINAL/meta.json,44,0.8333333333333333,0.6421355409547687,44,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewfp_FINAL/meta.json,120,1.0,0.066199322551256,44,0.8275862068965517,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold02_viewch_FINAL/meta.json,CTRL_vs_Bile,5
stage1_MIL_Control_vs_Bile,Bile,5,3,4,10004,1,120,median,71,54,17,"{""Control"": 7, ""Bile"": 10}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.000446700158793,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep05_fold03_tuned.json,1.0,1.0,1.0,1.0,0.0369421510746974,"7,0,0,10",43,0.9166666666666669,0.1092226232094617,71,0.8620689655172413,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewall_FINAL/meta.json,71,1.0,0.0298515520989894,71,0.8620689655172413,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewfp_FINAL/meta.json,113,1.0,0.0019910211412934,71,0.8620689655172413,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold03_viewch_FINAL/meta.json,CTRL_vs_Bile,5
stage1_MIL_Control_vs_Bile,Bile,5,4,4,10004,1,120,median,75,53,18,"{""Control"": 9, ""Bile"": 9}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0581096984443898,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep05_fold04_tuned.json,1.0,1.0,1.0,1.0,0.0330292213115553,"9,0,0,9",77,1.0,0.0111897368915379,75,0.7666666666666667,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewall_FINAL/meta.json,39,0.9166666666666669,0.1394253075122833,75,0.7666666666666667,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewfp_FINAL/meta.json,75,1.0,0.083299757912755,75,0.7666666666666667,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep05_fold04_viewch_FINAL/meta.json,CTRL_vs_Bile,5
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,1,10001,1,120,median,33,42,15,"{""Control"": 9, ""Pancreas"": 6}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0070935524375352,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/tuned/rep02_fold01_tuned.json,1.0,1.0,1.0,1.0,0.0036093065217805,"9,0,0,6",29,1.0,0.0376702398061752,33,1.2105263157894737,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewall_FINAL/meta.json,108,1.0,0.0003334475914016,33,1.2105263157894737,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewfp_FINAL/meta.json,33,1.0,0.0147485025227069,33,1.2105263157894737,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold01_viewch_FINAL/meta.json,CTRL_vs_Pancreas,2
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,1,10001,1,120,median,120,43,14,"{""Control"": 7, ""Pancreas"": 7}",1,1,0.2,1,0.0,0.0,1.0,0.7,8.066953290952827e-05,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/tuned/rep02_fold02_tuned.json,1.0,1.0,1.0,1.0,0.0052163199650486,"7,0,0,7",113,1.0,0.0012697934871539,120,1.3888888888888888,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewall_FINAL/meta.json,120,1.0,0.0004226840974297,120,1.3888888888888888,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewfp_FINAL/meta.json,120,1.0,0.0007299286080524,120,1.3888888888888888,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV4_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Pancreas/checkpoints/rep02_fold02_viewch_FINAL/meta.json,CTRL_vs_Pancreas,2
