task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell29_C,0.1071915014396391,1,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell42_C,0.0656968941368102,2,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell14_C,0.0559821157698547,3,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell9_B,0.054321902920352,4,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell5_A,0.0443857901589246,5,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell19_C,0.0441799119936691,6,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell19_A,0.0428424061367191,7,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell35_C,0.0383491547612267,8,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell8_A,0.0378008330157134,9,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell4_A,0.0355138065552866,10,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell2_C,0.0337969022388725,11,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell11_C,0.0290238666650024,12,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell21_A,0.0281446739533698,13,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell24_B,0.0278698723306915,14,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell7_A,0.0236991398205945,15,95,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell16_B,0.0226200890127385,16,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell1_C,0.0201578081354952,17,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell2_B,0.0193936002324897,18,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell43_C,0.0174722091467258,19,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell21_C,0.0170537174914562,20,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell20_C,0.0158571021114801,21,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell17_B,0.0150559439858812,22,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell26_C,0.0123244140310661,23,95,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell6_B,0.0113202797413107,24,95,B,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,7,1,all,2024Dec_Control-S10,0,S10_Cell13_A,0.0112011179509991,25,95,A,2024Dec
