rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell15_B,0.07969257999211551,1,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell29_B,0.07139369156211615,2,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell28_B,0.05638953298330307,3,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell24_C,0.046068180538713935,4,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell26_B,0.04441856499761343,5,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell17_C,0.03817216260358692,6,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell20_B,0.03482337258756161,7,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell31_C,0.022992977924877773,8,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell27_B,0.02210149532184005,9,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell19_C,0.020848281378857792,10,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell6_C,0.01985714176553301,11,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell18_C,0.019148574303835632,12,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell32_C,0.018620289687532928,13,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
9,5,fused,2024Dec_Bile-S4,20241026S4_Cell40_C,0.018466216407250616,14,101,0,Liver,0,Liver,1,0.8933073123146567,0.044647151148345866,0.06204553653610412
