rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,3,all,2024Dec_Bile-S10,20241026S10_Cell7_C,0.062218766659498215,1,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell11_C,0.042461127042770386,2,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell37_C,0.03924797847867012,3,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell7_B,0.03822166845202446,4,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell15_C,0.03668332099914551,5,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell21_C,0.033048711717128754,6,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell25_C,0.03231782093644142,7,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell1_C,0.031675953418016434,8,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell35_C,0.03093096800148487,9,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell41_C,0.02965177595615387,10,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell26_C,0.0280567966401577,11,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell27_C,0.02722497656941414,12,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell17_A,0.026848623529076576,13,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell19_C,0.025302715599536896,14,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell24_C,0.025136929005384445,15,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell5_B,0.023814354091882706,16,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell34_C,0.023375658318400383,17,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell23_C,0.021176138892769814,18,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell31_C,0.020991617813706398,19,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell6_C,0.02021177113056183,20,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell38_C,0.015492253936827183,21,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell33_C,0.014682621695101261,22,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell2_C,0.01331103965640068,23,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell30_C,0.012716895900666714,24,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell28_C,0.011476715095341206,25,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell6_A,0.010846675373613834,26,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell16_A,0.009507748298346996,27,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell24_A,0.009425105527043343,28,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell4_A,0.00929142814129591,29,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell12_A,0.008608698844909668,30,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell16_B,0.008475624956190586,31,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell40_C,0.008363707922399044,32,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell12_B,0.007797217927873135,33,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell22_B,0.007744917646050453,34,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
9,3,all,2024Dec_Bile-S10,20241026S10_Cell23_B,0.0072668627835810184,35,94,0,Liver,0,Liver,1,0.8395676761330194,0.059774484768152135,0.10065783909798873
