SampleKey,rep,fold,view,y_true,y_true_name,y_pred,y_pred_name,correct,rank,cell_idx_in_bag,cell_id,attn_w
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,47,43,20241026S1_Cell22_B,0.0062399795278906
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,48,33,20241026S1_Cell2_A,0.0062290504574775
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,49,10,20241026S1_Cell12_B,0.0061693573370575
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,50,42,20241026S1_Cell22_A,0.006134103052318
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,51,34,20241026S1_Cell2_B,0.0060646696947515
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,52,60,20241026S1_Cell28_A,0.0059567973949015
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,53,93,20241026S1_Cell7_A,0.0058017997071146
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,54,52,20241026S1_Cell25_B,0.0057860338129103
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,55,81,20241026S1_Cell4_A,0.0056073828600347
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,56,25,20241026S1_Cell17_B,0.0055253496393561
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,57,1,20241026S1_Cell1_B,0.0055088056251406
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,58,90,20241026S1_Cell6_A,0.0052008591592311
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,59,0,20241026S1_Cell1_A,0.0048224539496004
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,60,69,20241026S1_Cell30_A,0.0048050535842776
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,61,24,20241026S1_Cell17_A,0.0046387338079512
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,62,99,20241026S1_Cell9_A,0.0046258429065346
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,63,67,20241026S1_Cell3_B,0.0044946246780455
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,64,12,20241026S1_Cell13_A,0.0044699995778501
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,65,6,20241026S1_Cell11_A,0.0043005235493183
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,66,70,20241026S1_Cell30_B,0.0041844346560537
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,67,37,20241026S1_Cell20_B,0.0041636344976723
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,68,96,20241026S1_Cell8_A,0.0036951964721083
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,69,22,20241026S1_Cell16_B,0.003688451135531
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,70,19,20241026S1_Cell15_B,0.0036393625196069
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,71,91,20241026S1_Cell6_B,0.0036013021599501
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,72,73,20241026S1_Cell32_C,0.0034919788595288
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,73,72,20241026S1_Cell31_C,0.0034414657857269
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,74,80,20241026S1_Cell39_C,0.0032974674832075
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,75,79,20241026S1_Cell38_C,0.0031759217381477
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,76,51,20241026S1_Cell25_A,0.003161598695442
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,77,13,20241026S1_Cell13_B,0.0031335889361798
