task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell38_C,0.1132546711571689,1,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell28_A,0.0903098249197003,2,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell15_A,0.0746141182406316,3,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell26_C,0.0691600918454688,4,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell32_C,0.0573548624531512,5,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell14_C,0.0556695000720764,6,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell7_A,0.0541335441900819,7,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell7_C,0.0530900009260229,8,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell30_C,0.0454659257842582,9,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell6_A,0.042610185174925,10,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell12_A,0.031128599704311,11,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell20_C,0.0309974508537619,12,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell13_C,0.030865992804105,13,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell23_A,0.0282480766002106,14,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell31_A,0.0242818511199461,15,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell21_C,0.0237839735009097,16,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell39_C,0.0190459982230599,17,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell22_C,0.0153214714503098,18,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell18_A,0.0119406884039256,19,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell33_A,0.0112922541023803,20,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell17_A,0.0110380020973474,21,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell1_C,0.0098371835894398,22,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell16_A,0.008286606873723,23,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell29_C,0.0080797182115641,24,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell41_C,0.007808548731242,25,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell11_C,0.0064152579695839,26,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell24_A,0.0040797583635636,27,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell5_A,0.0040093201059358,28,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell9_C,0.0039195210481401,29,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell40_C,0.0032805892640593,30,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell32_B,0.0032377351524532,31,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell9_A,0.0031857978513896,32,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell21_A,0.0029771676159419,33,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell13_A,0.0025940401188615,34,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell22_A,0.0025199550347067,35,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell5_C,0.0021659970275682,36,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell11_B,0.0018973406049055,37,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell34_C,0.0017717824840103,38,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell23_C,0.001673163451811,39,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell35_C,0.001648699120132,40,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell36_C,0.0014766164287922,41,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell6_C,0.0014553771509113,42,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell30_B,0.0011452516097853,43,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell6_B,0.0011293056203981,44,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell33_B,0.0010603727293611,45,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell17_C,0.0010129288270809,46,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell42_C,0.0009484907900188,47,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell28_B,0.0009235790742389,48,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell3_B,0.00090229241532,49,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell30_A,0.0008714766380343,50,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell44_C,0.0008228732390993,51,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell31_C,0.0007855687043289,52,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell8_C,0.0007107445574719,53,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell33_C,0.000504408577077,54,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell12_C,0.0004953033851227,55,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell32_A,0.00049229044005,56,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell34_B,0.0004476440853841,57,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell15_C,0.0004454970375121,58,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell10_C,0.0004423521065627,59,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell31_B,0.0004182900480454,60,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,1,1,all,2024Dec_Control-S1,0,S1_Cell25_A,0.0004136664387189,61,103,A,2024Dec
