task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell29_C,0.0574102956842078,1,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell1_C,0.0532888652250062,2,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell5_A,0.0495301476769225,3,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell2_B,0.0396413118473868,4,95,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell13_C,0.038555765916233,5,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell11_C,0.0372078664004701,6,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell35_C,0.0340550152007922,7,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell6_C,0.03394387860882,8,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell21_C,0.033802149931128,9,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell8_C,0.0337889475015383,10,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell42_C,0.0317564923257941,11,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell20_C,0.0310743618299389,12,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell16_A,0.0278078054504778,13,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell6_A,0.0275821664665519,14,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell28_C,0.0273760852578365,15,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell19_C,0.025673685233899,16,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell21_A,0.0248945872885502,17,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell16_C,0.0230913492382728,18,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell22_C,0.0210415807748541,19,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell8_A,0.0206074726709919,20,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell31_A,0.0201076206400983,21,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell1_A,0.0190170176270686,22,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell15_C,0.017897415090015,23,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell32_C,0.0171786258728343,24,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell13_A,0.0152371367035618,25,95,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell43_C,0.0150228477485164,26,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell5_C,0.0141218201132472,27,95,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,8,1,all,2024Dec_Control-S10,0,S10_Cell18_B,0.013890522413027,28,95,B,2024Dec
